cell_set_preferred_alias,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_aliases,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,species,modality,taxonomy_id,taxonomy_description,child_cell_set_accessions,cell_type_card,original_label,cell_set_color
,RNAseq 16-17,CS201912132_155,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_16|CS201912132_17,No,n24,
,RNAseq 18-25,CS201912132_156,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25,No,n25,
,RNAseq 18-20,CS201912132_157,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_18|CS201912132_19|CS201912132_20,No,n26,
,RNAseq 21-25,CS201912132_158,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25,No,n28,
,RNAseq 22-23,CS201912132_159,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_22|CS201912132_23,No,n30,
,RNAseq 24-25,CS201912132_160,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_24|CS201912132_25,No,n31,
,RNAseq 27-52,CS201912132_161,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52,No,n32,
,RNAseq 27-40,CS201912132_162,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40,No,n33,
,RNAseq 27-29,CS201912132_163,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_27|CS201912132_28|CS201912132_29,No,n34,
,RNAseq 27-28,CS201912132_164,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_27|CS201912132_28,No,n35,
,RNAseq 30-40,CS201912132_165,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40,No,n36,
,RNAseq 30-36,CS201912132_166,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36,No,n37,
,RNAseq 31-36,CS201912132_167,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36,No,n38,
,RNAseq 31-33,CS201912132_168,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_31|CS201912132_32|CS201912132_33,No,n39,
,RNAseq 32-33,CS201912132_169,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_32|CS201912132_33,No,n40,
,RNAseq 34-36,CS201912132_170,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_34|CS201912132_35|CS201912132_36,No,n41,
,RNAseq 34-35,CS201912132_171,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_34|CS201912132_35,No,n42,
,RNAseq 37-40,CS201912132_172,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40,No,n43,
,RNAseq 37-39,CS201912132_173,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_37|CS201912132_38|CS201912132_39,No,n44,
,RNAseq 38-39,CS201912132_174,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_38|CS201912132_39,No,n45,
,RNAseq 41-52,CS201912132_175,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52,No,n46,
,RNAseq 41-51,CS201912132_176,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51,No,n47,
,RNAseq 41-50,CS201912132_177,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50,No,n48,
,RNAseq 41-46,CS201912132_178,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46,No,n49,
,RNAseq 42-46,CS201912132_179,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46,No,n50,
,RNAseq 42-44,CS201912132_180,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_42|CS201912132_43|CS201912132_44,No,n51,
,RNAseq 43-44,CS201912132_181,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_43|CS201912132_44,No,n52,
,RNAseq 45-46,CS201912132_182,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_45|CS201912132_46,No,n53,
,RNAseq 47-50,CS201912132_183,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_47|CS201912132_48|CS201912132_49|CS201912132_50,No,n54,
,RNAseq 48-50,CS201912132_184,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_48|CS201912132_49|CS201912132_50,No,n55,
,RNAseq 48-49,CS201912132_185,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_48|CS201912132_49,No,n56,
,RNAseq 53-75,CS201912132_186,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75|CS201912132_76,No,n58,
,RNAseq 53-74,CS201912132_187,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73|CS201912132_74|CS201912132_75,No,n59,
,RNAseq 53-72,CS201912132_188,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_70|CS201912132_71|CS201912132_72|CS201912132_73,No,n60,
,"RNAseq 53-68, 77",CS201912132_189,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68|CS201912132_69,No,n61,
,RNAseq 53-68,CS201912132_190,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64|CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68,No,n62,
,RNAseq 53-64,CS201912132_191,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60|CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64,No,n63,
,RNAseq 53-60,CS201912132_192,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58|CS201912132_59|CS201912132_60,No,n64,
,RNAseq 53-58,CS201912132_193,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57|CS201912132_58,No,n65,
,RNAseq 53-57,CS201912132_194,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56|CS201912132_57,No,n66,
,RNAseq 54-56,CS201912132_195,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_54|CS201912132_55|CS201912132_56,No,n68,
,RNAseq 55-56,CS201912132_196,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_55|CS201912132_56,No,n69,
,RNAseq 61-64,CS201912132_197,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_61|CS201912132_62|CS201912132_63|CS201912132_64,No,n71,
,RNAseq 61-63,CS201912132_198,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_61|CS201912132_62|CS201912132_63,No,n72,
,RNAseq 61-62,CS201912132_199,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_61|CS201912132_62,No,n73,
,RNAseq 65-68,CS201912132_200,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_65|CS201912132_66|CS201912132_67|CS201912132_68,No,n74,
,RNAseq 67-68,CS201912132_201,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_67|CS201912132_68,No,n76,
,RNAseq 72-74,CS201912132_202,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_73|CS201912132_74|CS201912132_75,No,n79,
,RNAseq 79-84,CS201912132_203,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_79|CS201912132_80|CS201912132_81|CS201912132_82|CS201912132_83|CS201912132_84,No,n81,
,RNAseq 80-81,CS201912132_204,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_80|CS201912132_81,No,n84,
,RNAseq 83-84,CS201912132_205,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_83|CS201912132_84,No,n85,
,RNAseq 85-93,CS201912132_206,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_85|CS201912132_86|CS201912132_87|CS201912132_88|CS201912132_89|CS201912132_90|CS201912132_91|CS201912132_92|CS201912132_93,No,n86,
,RNAseq 85-89,CS201912132_207,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_85|CS201912132_86|CS201912132_87|CS201912132_88|CS201912132_89,No,n87,
,RNAseq 85-86,CS201912132_208,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_85|CS201912132_86,No,n89,
,RNAseq 91-92,CS201912132_209,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_91|CS201912132_92,No,n93,
